;Banque;Catégorie;Date;Numéro d'opération;Libellé;Crédit;Détail
468;CEAPC;;2024-01-11;0111202420241101-03.03.01.976154 -;VIR SEPA MUTUELLE DES SCOP ET D;12.29;MUTUELLE DES SCOP ET SCIC    
469;CEAPC;;2024-01-11;0111202420241101-03.02.00.037369 -;VIR SEPA DDFIP DU VAR;5.95;0000001720324433022106241029    
479;CEAPC;;2024-10-31;3110202420241031-18.26.36.708187 -;VIR SEPA KORELIO PRESTATIONS;22.68;FRAIS MEDICAUX LOT NUMERO:389    
480;CEAPC;;2024-10-31;3110202420241031-13.22.20.747564 -;VIR SEPA PAV PREVOYANCE PRESTAT;18.96;PRESTATIONS PAVILLON-PREV.    
481;CEAPC;;2024-10-31;3110202420241031-13.22.02.548505 -;VIR SEPA VIAMEDIS;57.64;TP-20241025-VIREMENT 6827764 -172032443-0075990010-6396-   
482;CEAPC;;2024-10-31;3110202420241031-13.22.01.802314 -;VIR SEPA MSA DES CHARENTES;1.57;2024102900000017203244 02171000    
483;CEAPC;;2024-10-31;3110202420241031-13.21.51.348640 -;VIR SEPA MSA POITOU;4.52;2024102900000017203244 02861000    
484;CEAPC;;2024-10-31;3110202420241031-10.49.15.947548 -;VIR SEPA CETIP CETIP;83.65;TP-20241031-SPSANT -172032443-0000476776-6396-   
485;CEAPC;;2024-10-31;3110202420241031-10.48.55.300683 -;VIR SEPA C.P.A.M. BLOIS;2.59;0000001720324433035051241030    
486;CEAPC;;2024-10-31;3110202420241031-10.48.52.831507 -;VIR SEPA C.P.A.M. DE LA ROCHELL;3055.01;0000001720324433038122241030    
487;CEAPC;;2024-10-31;3110202420241031-10.48.44.897740 -;VIR SEPA C.P.A.M. DEUX SEVRES;9.71;0000001720324433031599241030    
488;CEAPC;;2024-10-31;3110202420241031-10.48.35.418739 -;VIR SEPA C.P.A.M. TOURS;17.92;0000001720324433032011241030    
489;CEAPC;;2024-10-31;3110202420241031-09.38.03.983168 -;VIR SEPA CETIP CETIP;114.03;TP-20241031-ISANTE -172032443-0000476776-6396-   
490;CEAPC;;2024-10-31;3110202420241031-09.37.56.065559 -;VIR SEPA MUTUELLE GENERALE EDUC;42.95;TP-20241028-028OWNP70832012 -172 032443-0091007281-6396-   
491;CEAPC;;2024-10-31;3110202420241031-09.37.54.795568 -;VIR SEPA MUTUELLE GENERALE EDUC;18.62;OW017P470824017OWRQ70820909GV66 OW28/10/24-6508/6677   
492;CEAPC;;2024-10-31;3110202420241031-09.37.50.071765 -;VIR SEPA MUTUELLE GENERALE EDUC;35.21;TP-20241028-017OWNP70821563 -172 032443-0091007171-6396-   
498;CEAPC;;2024-10-31;3110202420241031-08.41.02.910106 -;CB PHARMAMERIQUES    301024;178.36;CB PHARMAMERIQUES    301024 CONTRAT 8413786     REM 188773   
499;CEAPC;;2024-10-31;3110202420241031-08.41.02.897589 -;CB PHARMAMERIQUES    301024;425.96;CB PHARMAMERIQUES    301024 CONTRAT 8413786     REM 177782   
500;CEAPC;;2024-10-31;3110202420241031-08.41.02.887160 -;CB PHARMAMERIQUES    301024;99.8;CB PHARMAMERIQUES    301024 CONTRAT 8413785     REM 190803   
501;CEAPC;;2024-10-31;3110202420241031-08.41.02.874548 -;CB PHARMAMERIQUES    301024;173.17;CB PHARMAMERIQUES    301024 CONTRAT 8413785     REM 185536   
502;CEAPC;;2024-10-31;3110202420241031-08.40.37.540203 -;CB PHARMAMERIQUES    301024;720.74;CB PHARMAMERIQUES    301024 CONTRAT 8413786     REM 147812   
503;CEAPC;;2024-10-31;3110202420241031-03.07.20.765907 -;VIR SEPA CPAM HAUTS DE SEINE SE;0.9;0000001720324433039201241030    
504;CEAPC;;2024-10-31;3110202420241031-03.07.20.181712 -;VIR SEPA CPAM SAONE ET LOIRE;2.95;0000001720324433037110241030    
505;CEAPC;;2024-10-31;3110202420241031-03.07.14.521327 -;VIR SEPA ALMERYS;108.94;TP-20241030-ALMERYS TP -172032443-0098532001-6396-   
506;CEAPC;;2024-10-31;3110202420241031-03.07.12.728237 -;VIR SEPA MUTAME   PLUS;19.11;LOT.490.291024172032443......... ................................ ................................ ................................ ............
507;CEAPC;;2024-10-31;3110202420241031-03.07.06.533735 -;VIR SEPA CPAM LOIRE-ATL;24.9;0000001720324433031099241030    
508;CEAPC;;2024-10-31;3110202420241031-03.06.54.691441 -;VIR SEPA CPAM LA ROCHE S/YON VV;13.03;0000001720324433037140241030    
509;CEAPC;;2024-10-31;3110202420241031-03.06.47.015535 -;VIR SEPA C.P.A.M. MONTAUBAN;4.52;0000001720324433037371241030    
513;CEAPC;;2024-10-30;3010202420241030-16.11.01.096610 -;VIR SEPA MSA DES CHARENTES;5.22;2024102700000017203244 02171000    
514;CEAPC;;2024-10-30;3010202420241030-13.14.05.809657 -;VIR SEPA DOLENZ Daniele;62.02;REL 01.10.2024 DOLENZ-PHARMACIE 02+   
515;CEAPC;;2024-10-30;3010202420241030-13.13.55.160216 -;VIR SEPA VIAMEDIS;530.54;TP-20241024-VIREMENT 6789248 -172032443-0075990010-6396-   
516;CEAPC;;2024-10-30;3010202420241030-10.46.52.343288 -;VIR SEPA CPAM BOURG EN BRESSE;46.8;0000001720324433021131241029    
517;CEAPC;;2024-10-30;3010202420241030-10.46.50.778457 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1640.54;0000001720324433028122241029    
518;CEAPC;;2024-10-30;3010202420241030-10.46.48.487052 -;VIR SEPA C.P.A.M. BLOIS;7.32;0000001720324433025051241029    
519;CEAPC;;2024-10-30;3010202420241030-10.46.46.901831 -;VIR SEPA C.P.A.M. D ANGOULEME;1.1;0000001720324433021622241029    
520;CEAPC;;2024-10-30;3010202420241030-10.46.17.980808 -;VIR SEPA CETIP CETIP;57.44;TP-20241030-SPSANT -172032443-0000476776-6396-   
521;CEAPC;;2024-10-30;3010202420241030-09.35.20.535449 -;VIR SEPA MUTUELLE GENERALE EDUC;608.09;TP-20241025-017OWNP70732004 -172 032443-0091007171-6396-   
522;CEAPC;;2024-10-30;3010202420241030-09.35.01.229006 -;VIR SEPA CETIP CETIP;36.25;TP-20241030-ISANTE -172032443-0000476776-6396-   
523;CEAPC;;2024-10-30;3010202420241030-09.34.48.992619 -;VIR SEPA MUTUELLE GENERALE EDUC;9.94;TP-20241025-086OWNP70700093 -172 032443-0091007861-6396-   
524;CEAPC;;2024-10-30;3010202420241030-09.34.44.854803 -;VIR SEPA MUTUELLE GENERALE EDUC;1.4;OW053P470724053OWRQ70706843CN76 OW25/10/24-7649/7649   
529;CEAPC;;2024-10-30;3010202420241030-08.44.19.016155 -;CB PHARMAMERIQUES    291024;256.5;CB PHARMAMERIQUES    291024 CONTRAT 8413786     REM 187364   
530;CEAPC;;2024-10-30;3010202420241030-08.44.19.002885 -;CB PHARMAMERIQUES    291024;65.8;CB PHARMAMERIQUES    291024 CONTRAT 8413785     REM 190112   
531;CEAPC;;2024-10-30;3010202420241030-08.44.18.988247 -;CB PHARMAMERIQUES    291024;161.05;CB PHARMAMERIQUES    291024 CONTRAT 8413785     REM 184602   
532;CEAPC;;2024-10-30;3010202420241030-08.43.53.960909 -;CB PHARMAMERIQUES    291024;569.84;CB PHARMAMERIQUES    291024 CONTRAT 8413786     REM 146069   
533;CEAPC;;2024-10-30;3010202420241030-05.46.49.111847 -;VIR SEPA MUTUELLE VERTE;4.16;MUTUELLE VERTE PRESTATIONS : MVE RTE241739697T172032443   
534;CEAPC;;2024-10-30;3010202420241030-05.46.41.017570 -;VIR SEPA ACTIL SAS;2.5;ACT:4313240/172032443-251024    
535;CEAPC;;2024-10-30;3010202420241030-03.08.05.376813 -;VIR SEPA CPAM DES YVELINES;1.78;0000001720324433027132241029    
536;CEAPC;;2024-10-30;3010202420241030-03.07.41.212520 -;VIR SEPA HARMONIE MUTUELLE;11.52;TP-20241028-HARMONIE MUTUELLE -172032443-609143-4287-   
537;CEAPC;;2024-10-30;3010202420241030-03.07.39.691287 -;VIR SEPA CPAM MAINE-ET-LOIRE;113.75;0000001720324433023720241029    
538;CEAPC;;2024-10-30;3010202420241030-03.07.38.796034 -;VIR SEPA MUTUELLE 403;6.1;PREST M403  TIERS 172032443    
539;CEAPC;;2024-10-30;3010202420241030-03.07.28.681298 -;VIR SEPA HARMONIE MUTUELLE;41.08;TP-20241028-HARMONIE MUTUELLE -172032443-609143-4287-   
540;CEAPC;;2024-10-30;3010202420241030-03.07.27.939624 -;VIR SEPA CPAM ESSONNE;33.71;0000001720324433021821241029    
541;CEAPC;;2024-10-30;3010202420241030-03.07.25.976397 -;VIR SEPA CPAM ST BRIEUC;7.58;0000001720324433024311241029    
542;CEAPC;;2024-10-30;3010202420241030-03.06.48.034282 -;VIR SEPA CGSS DISP OPERATIONS C;3.17;0000001720324432981191241025    
545;CEAPC;;2024-10-29;2910202420241029-16.19.07.221185 -;VIR SEPA MSA DES CHARENTES OPER;16.0;TP-20241025-MSA DES CHARENTES OP -172032443-0000120936-6396-00028 4386             REMB. LEROY -NELLY    - 
546;CEAPC;;2024-10-29;2910202420241029-16.19.05.573551 -;VIR SEPA MSA BERRY-TOURAINE;7.73;2024102500000017203244 02411000    
547;CEAPC;;2024-10-29;2910202420241029-16.19.01.199128 -;VIR SEPA MSA LOIRE-ATLANTIQUE -;4.57;2024102500000017203244 02851000    
548;CEAPC;;2024-10-29;2910202420241029-13.17.36.550036 -;VIR SEPA PAV PREVOYANCE PRESTAT;3.9;PRESTATIONS PAVILLON-PREV.    
549;CEAPC;;2024-10-29;2910202420241029-13.17.23.383388 -;VIR SEPA ADEP;2.59;VIR ADEP PREST 7469879 LOT444    
550;CEAPC;;2024-10-29;2910202420241029-13.17.16.932152 -;VIR SEPA MSA DES CHARENTES;4.58;2024102500000017203244 02171000    
551;CEAPC;;2024-10-29;2910202420241029-10.46.09.515854 -;VIR SEPA 00001003120 - ENIM AC;17.02;0000001720324432992110241028    
552;CEAPC;;2024-10-29;2910202420241029-10.46.05.961859 -;VIR SEPA C.P.A.M. DEUX SEVRES;49.64;0000001720324432991599241028    
553;CEAPC;;2024-10-29;2910202420241029-10.45.59.063189 -;VIR SEPA C.P.A.M. BLOIS;11.55;0000001720324432995051241028    
554;CEAPC;;2024-10-29;2910202420241029-10.45.58.383551 -;VIR SEPA C.P.A.M. DE LA ROCHELL;1261.22;0000001720324432998122241028    
555;CEAPC;;2024-10-29;2910202420241029-10.45.56.605199 -;VIR SEPA C.P.A.M. D ANGOULEME;39.42;0000001720324432991622241028    
556;CEAPC;;2024-10-29;2910202420241029-10.45.32.043082 -;VIR SEPA CETIP CETIP;431.15;TP-20241029-SPSANT -172032443-0000476776-6396-   
557;CEAPC;;2024-10-29;2910202420241029-10.45.31.354204 -;VIR SEPA CETIP CETIP;20.09;TP-20241029-ISANTE -172032443-0000476776-6396-   
558;CEAPC;;2024-10-29;2910202420241029-09.34.29.562346 -;VIR SEPA HENNER GMC;11.93;432621062 REMBOURSEMENT DES FRAI S MEDICAUX   
559;CEAPC;;2024-10-29;2910202420241029-09.34.24.405081 -;VIR SEPA MUTUELLE GENERALE EDUC;231.18;TP-20241024-017OWNP70624186 -172 032443-0091007171-6396-   
560;CEAPC;;2024-10-29;2910202420241029-09.34.09.108060 -;VIR SEPA MUTUELLE GENERALE EDUC;27.65;OW017P470624017OWRQ70623510GV54 OW24/10/24-5411/5426   
568;CEAPC;;2024-10-29;2910202420241029-08.38.31.506995 -;CB PHARMAMERIQUES    281024;395.54;CB PHARMAMERIQUES    281024 CONTRAT 8413786     REM 100538   
569;CEAPC;;2024-10-29;2910202420241029-08.38.31.488086 -;CB PHARMAMERIQUES    281024;119.69;CB PHARMAMERIQUES    281024 CONTRAT 8413785     REM 101640   
570;CEAPC;;2024-10-29;2910202420241029-08.38.31.469884 -;CB PHARMAMERIQUES    281024;76.9;CB PHARMAMERIQUES    281024 CONTRAT 8413785     REM 197316   
573;CEAPC;;2024-10-29;2910202420241029-03.16.41.920054 -;VIR SEPA CPAM MAINE-ET-LOIRE;2.88;0000001720324432993720241028    
574;CEAPC;;2024-10-29;2910202420241029-03.16.39.993445 -;VIR SEPA MUTUELLE DOUEST FRANCE;3.02;MUTUELLE D'OUEST FRANCE    
575;CEAPC;;2024-10-29;2910202420241029-03.16.38.750165 -;VIR SEPA C.P.A.M. MONT DE MARSA;17.64;0000001720324432993521241028    
576;CEAPC;;2024-10-29;2910202420241029-03.16.34.844842 -;VIR SEPA C.P.A.M. TARBES;11.64;0000001720324432995601241028    
577;CEAPC;;2024-10-29;2910202420241029-03.16.33.566260 -;VIR SEPA LA FRATERNELLE MUTUELL;5.69;LA FRATERNELLE INTERENTREPRISES    
578;CEAPC;;2024-10-29;2910202420241029-03.16.33.070764 -;VIR SEPA C.P.A.M. BORDEAUX;17.64;0000001720324432990702241028    
579;CEAPC;;2024-10-29;2910202420241029-03.16.32.461495 -;VIR SEPA C.P.A.M. NIMES;50.22;0000001720324432991111241028    
580;CEAPC;;2024-10-29;2910202420241029-03.16.12.483733 -;VIR SEPA MUTUELLE 403;22.45;PREST M403  TIERS 172032443    
581;CEAPC;;2024-10-29;2910202420241029-03.16.08.287953 -;VIR SEPA SOC MUTUALISTE PERSONN;3.8;SOC MUTUALISTE PERSONNEL SNECMA    
582;CEAPC;;2024-10-29;2910202420241029-03.16.06.126026 -;VIR SEPA ALMERYS;58.37;TP-20241028-ALMERYS TP -172032443-0098532001-6396-   
583;CEAPC;;2024-10-29;2910202420241029-03.16.05.622962 -;VIR SEPA ALMERYS;132.67;TP-20241026-ALMERYS TP -172032443-0098532001-6396-   
584;CEAPC;;2024-10-29;2910202420241029-03.12.25.032548 -;VIR SEPA CPAM LOIRE-ATL;39.24;0000001720324432991099241028    
585;CEAPC;;2024-10-29;2910202420241029-03.09.50.006803 -;VIR SEPA CAISSE PREVOYANCE ET R;6.46;CP MANDAT 20241023          1720 3244   
586;CEAPC;;2024-10-29;2910202420241029-03.09.35.060550 -;VIR SEPA CARTE BLANCHE TP;4.84;TP-20241026-CARTE BLANCHE -172032443-0098532203-6396-   
587;CEAPC;;2024-10-29;2910202420241029-03.09.32.935159 -;VIR SEPA CARTE BLANCHE TP;4.97;TP-20241028-CARTE BLANCHE -172032443-0098532203-6396-   
588;CEAPC;;2024-10-29;2910202420241029-03.09.16.167973 -;VIR SEPA DDFIP DU VAR;1.5;0000001720324432972106241024    
590;CEAPC;;2024-10-28;2810202420241028-18.17.23.377698 -;VIR SEPA KORELIO PRESTATIONS;7.45;FRAIS MEDICAUX LOT NUMERO:368    
591;CEAPC;;2024-10-28;2810202420241028-18.17.23.140431 -;VIR SEPA KORELIO PRESTATIONS;9.9;FRAIS MEDICAUX LOT NUMERO:639    
592;CEAPC;;2024-10-28;2810202420241028-16.22.23.830517 -;VIR SEPA MNT SANTE PRESTATION R;7.45;0143205860 Prestations Sante   1 72032443   
593;CEAPC;;2024-10-28;2810202420241028-16.22.22.862142 -;VIR SEPA MNT SANTE PRESTATION R;415.37;0143205859 Prestations Sante   1 72032443   
594;CEAPC;;2024-10-28;2810202420241028-16.22.13.868301 -;VIR SEPA MSA DES CHARENTES;53.18;2024102400000017203244 02171000    
595;CEAPC;;2024-10-28;2810202420241028-13.12.03.927588 -;VIR SEPA C.P.A.M. DE LA ROCHELL;2433.87;0000001720324432988122241025    
596;CEAPC;;2024-10-28;2810202420241028-13.11.52.246135 -;VIR SEPA C.P.A.M. DE POITIERS;5.9;0000001720324432987681241025    
597;CEAPC;;2024-10-28;2810202420241028-13.11.45.368366 -;VIR SEPA CPAM DE LA HAUTE LOIRE;14.46;0000001720324432987581241025    
598;CEAPC;;2024-10-28;2810202420241028-13.11.33.823616 -;VIR SEPA MUTUELLE GENERALE EDUC;2.16;TP-20241023-017OWNP70527422 -172 032443-0091007171-6396-   
599;CEAPC;;2024-10-28;2810202420241028-13.11.23.856031 -;VIR SEPA MUTUELLE GENERALE EDUC;4.42;OW017P470524017OWRQ70526710GV48 OW23/10/24-4848/4848   
600;CEAPC;;2024-10-28;2810202420241028-13.11.23.266968 -;VIR SEPA VIAMEDIS;157.95;TP-20241022-VIREMENT 6704248 -172032443-0075990010-6396-   
601;CEAPC;;2024-10-28;2810202420241028-10.45.40.056614 -;VIR SEPA ACTIL SAS;19.69;ACT:4282818/172032443-231024    
602;CEAPC;;2024-10-28;2810202420241028-09.32.01.314936 -;VIR SEPA MESE;5.19;MESE    
603;CEAPC;;2024-10-28;2810202420241028-09.31.29.989757 -;VIR SEPA CETIP CETIP;40.52;TP-20241028-ISANTE -172032443-0000476776-6396-   
604;CEAPC;;2024-10-28;2810202420241028-09.31.28.979067 -;VIR SEPA CETIP CETIP;149.11;TP-20241028-SPSANT -172032443-0000476776-6396-   
610;CEAPC;;2024-10-28;2810202420241028-08.35.53.401130 -;CB PHARMAMERIQUES    261024;28.4;CB PHARMAMERIQUES    261024 CONTRAT 8413786     REM 171434   
611;CEAPC;;2024-10-28;2810202420241028-08.35.53.391724 -;CB PHARMAMERIQUES    261024;138.18;CB PHARMAMERIQUES    261024 CONTRAT 8413786     REM 168734   
612;CEAPC;;2024-10-28;2810202420241028-08.35.53.381302 -;CB PHARMAMERIQUES    261024;612.02;CB PHARMAMERIQUES    261024 CONTRAT 8413786     REM 134428   
613;CEAPC;;2024-10-28;2810202420241028-08.35.53.370848 -;CB PHARMAMERIQUES    261024;85.06;CB PHARMAMERIQUES    261024 CONTRAT 8413785     REM 133923   
616;CEAPC;;2024-10-28;2810202420241028-02.21.06.887345 -;VIR SEPA MUTUELLE VERTE;8.03;MUTUELLE VERTE PRESTATIONS : MVE RTE241724173T172032443   
617;CEAPC;;2024-10-28;2810202420241028-02.20.27.708025 -;VIR SEPA CARTE BLANCHE TP;1.16;TP-20241025-CARTE BLANCHE -172032443-0098532203-6396-   
618;CEAPC;;2024-10-28;2810202420241028-02.20.09.940208 -;VIR SEPA SECURITE SOCIALE MGP;177.51;0000001720324432980002241025    
619;CEAPC;;2024-10-28;2810202420241028-02.20.09.438115 -;VIR SEPA CPAM ESSONNE;8.52;0000001720324432981821241025    
620;CEAPC;;2024-10-28;2810202420241028-02.20.09.037402 -;VIR SEPA CPAM DES YVELINES;119.94;0000001720324432987132241025    
621;CEAPC;;2024-10-28;2810202420241028-02.19.57.623647 -;VIR SEPA HARMONIE MUTUELLE;243.28;TP-20241024-HARMONIE MUTUELLE -172032443-609143-4287-   
622;CEAPC;;2024-10-28;2810202420241028-02.19.52.223116 -;VIR SEPA CPAM MAINE-ET-LOIRE;37.38;0000001720324432983720241025    
623;CEAPC;;2024-10-28;2810202420241028-02.19.50.527516 -;VIR SEPA CPAM LOIRE-ATL;0.85;0000001720324432981099241025    
624;CEAPC;;2024-10-28;2810202420241028-02.19.45.970993 -;VIR SEPA C.P.A.M. NIMES;22.49;0000001720324432981111241025    
627;CEAPC;;2024-10-26;2610202420241026-08.39.32.130824 -;CB PHARMAMERIQUES    251024;174.54;CB PHARMAMERIQUES    251024 CONTRAT 8413786     REM 170622   
628;CEAPC;;2024-10-26;2610202420241026-08.39.32.115022 -;CB PHARMAMERIQUES    251024;87.45;CB PHARMAMERIQUES    251024 CONTRAT 8413785     REM 170708   
629;CEAPC;;2024-10-25;2510202420241025-18.18.04.040239 -;VIR SEPA KORELIO PRESTATIONS;17.92;FRAIS MEDICAUX LOT NUMERO:098    
630;CEAPC;;2024-10-25;2510202420241025-13.13.14.068142 -;VIR SEPA MSA GIRONDE;1.86;2024102300000017203244 02331000    
631;CEAPC;;2024-10-25;2510202420241025-13.13.04.811479 -;VIR SEPA MSA MAINE-ET-LOIRE;2.5;2024102300000017203244 02491000    
632;CEAPC;;2024-10-25;2510202420241025-13.12.57.987462 -;VIR SEPA VIAMEDIS;14.82;TP-20241021-VIREMENT 6661039 -172032443-0075990010-6396-   
633;CEAPC;;2024-10-25;2510202420241025-13.12.57.922855 -;VIR SEPA MUTUELLE GENERALE EDUC;3.56;OW092P470424092OWLQ70482781JK42 OW22/10/24-4234/4234   
634;CEAPC;;2024-10-25;2510202420241025-13.12.55.417689 -;VIR SEPA MUTUELLE GENERALE EDUC;6.61;TP-20241022-094OWNP70492727 -172 032443-0091007941-6396-   
635;CEAPC;;2024-10-25;2510202420241025-13.12.54.919398 -;VIR SEPA MUTUELLE GENERALE EDUC;3.56;OW094P470424094OWLQ70491180JU67 OW22/10/24-6715/6715   
636;CEAPC;;2024-10-25;2510202420241025-10.39.57.638711 -;VIR SEPA CPAM COTE OPALE BFCM;1.43;0000001720324432973121241024    
637;CEAPC;;2024-10-25;2510202420241025-10.39.50.866232 -;VIR SEPA C.P.A.M. DE LA ROCHELL;2036.65;0000001720324432978122241024    
638;CEAPC;;2024-10-25;2510202420241025-10.39.27.709139 -;VIR SEPA C.P.A.M. D ANGOULEME;9.93;0000001720324432971622241024    
639;CEAPC;;2024-10-25;2510202420241025-10.39.20.241993 -;VIR SEPA CETIP CETIP;38.18;TP-20241025-SPSANT -172032443-0000476776-6396-   
640;CEAPC;;2024-10-25;2510202420241025-09.33.26.531786 -;VIR SEPA HENNER GMC;20.7;432362804 REMBOURSEMENT DES FRAI S MEDICAUX   
641;CEAPC;;2024-10-25;2510202420241025-09.33.21.064220 -;VIR SEPA MUTUELLE GENERALE EDUC;3.01;OW014P470424014OWRQ70423177GZ80 OW22/10/24-8068/8068   
642;CEAPC;;2024-10-25;2510202420241025-09.33.19.528501 -;VIR SEPA MUTUELLE GENERALE EDUC;74.58;OW017P470424017OWRQ70426830GV42 OW22/10/24-4210/4218   
643;CEAPC;;2024-10-25;2510202420241025-09.33.18.979524 -;VIR SEPA MUTUELLE GENERALE EDUC;254.53;TP-20241022-014OWNP70423914 -172 032443-0091007141-6396-   
644;CEAPC;;2024-10-25;2510202420241025-09.33.15.138521 -;VIR SEPA MUTUELLE GENERALE EDUC;2.59;TP-20241022-016OWNP70425386 -172 032443-0091007161-6396-   
645;CEAPC;;2024-10-25;2510202420241025-09.33.13.380251 -;VIR SEPA MUTUELLE GENERALE EDUC;1.4;OW016P470424016OWRQ70425068DM27 OW22/10/24-2780/2780   
646;CEAPC;;2024-10-25;2510202420241025-09.33.11.948333 -;VIR SEPA MUTUELLE GENERALE EDUC;236.28;TP-20241022-017OWNP70427490 -172 032443-0091007171-6396-   
651;CEAPC;;2024-10-25;2510202420241025-08.36.53.409989 -;CB PHARMAMERIQUES    241024;149.61;CB PHARMAMERIQUES    241024 CONTRAT 8413786     REM 166659   
652;CEAPC;;2024-10-25;2510202420241025-08.36.53.397913 -;CB PHARMAMERIQUES    241024;451.72;CB PHARMAMERIQUES    241024 CONTRAT 8413786     REM 163789   
653;CEAPC;;2024-10-25;2510202420241025-08.36.53.384365 -;CB PHARMAMERIQUES    241024;9.5;CB PHARMAMERIQUES    241024 CONTRAT 8413785     REM 168823   
654;CEAPC;;2024-10-25;2510202420241025-08.36.53.372438 -;CB PHARMAMERIQUES    241024;68.06;CB PHARMAMERIQUES    241024 CONTRAT 8413785     REM 161074   
655;CEAPC;;2024-10-25;2510202420241025-03.08.00.376630 -;VIR SEPA HARMONIE MUTUELLE;101.27;TP-20241023-HARMONIE MUTUELLE -172032443-609143-4287-   
656;CEAPC;;2024-10-25;2510202420241025-03.07.41.061205 -;VIR SEPA CAMIEG;31.16;0000001720324432970031241024    
657;CEAPC;;2024-10-25;2510202420241025-03.07.39.870873 -;VIR SEPA CPAM DES YVELINES;21.81;0000001720324432977132241024    
658;CEAPC;;2024-10-25;2510202420241025-03.07.35.965380 -;VIR SEPA C.P.A.M. BORDEAUX;14.9;0000001720324432970702241024    
659;CEAPC;;2024-10-25;2510202420241025-03.07.34.477282 -;VIR SEPA ALMERYS;206.41;TP-20241024-ALMERYS TP -172032443-0098532001-6396-   
660;CEAPC;;2024-10-25;2510202420241025-03.07.32.379731 -;VIR SEPA C.P.A.M. MONTAUBAN;64.69;0000001720324432977371241024    
661;CEAPC;;2024-10-25;2510202420241025-03.07.01.490177 -;VIR SEPA DDFIP DU VAR;209.89;0000001720324432952106241022    
662;CEAPC;;2024-10-25;2510202420241025-03.07.00.088813 -;VIR SEPA MUTUELLE LE LIBRE CHOI;3.49;LIBRE CHOIX    
667;CEAPC;;2024-10-24;2410202420241024-16.17.29.446000 -;VIR SEPA KORELIO PRESTATIONS;73.67;FRAIS MEDICAUX LOT NUMERO:809    
668;CEAPC;;2024-10-24;2410202420241024-16.17.22.018056 -;VIR SEPA MSA DES CHARENTES;14.55;2024102200000017203244 02171000    
669;CEAPC;;2024-10-24;2410202420241024-16.17.20.256371 -;VIR SEPA MSA DES CHARENTES OPER;3.66;TP-20241022-MSA DES CHARENTES OP -172032443-0000120936-6396-00027 9089             REMB. ADOUANE -MADJID   - 
671;CEAPC;;2024-10-24;2410202420241024-13.09.13.142812 -;VIR SEPA HM SAFRAN;7.45;HM SAFRAN    
672;CEAPC;;2024-10-24;2410202420241024-13.09.05.339705 -;VIR SEPA MUTUELLE GENERALE EDUC;84.87;TP-20241021-017OWNP70321696 -172 032443-0091007171-6396-   
673;CEAPC;;2024-10-24;2410202420241024-13.09.04.360490 -;VIR SEPA VIAMEDIS;449.1;TP-20241018-VIREMENT 6620082 -172032443-0075990010-6396-   
674;CEAPC;;2024-10-24;2410202420241024-13.08.56.605520 -;VIR SEPA MSA POITOU;66.08;2024102200000017203244 02861000    
675;CEAPC;;2024-10-24;2410202420241024-13.08.54.212915 -;VIR SEPA MUTUELLE GENERALE EDUC;20.03;OW017P470324017OWRQ70321052GV34 OW21/10/24-3443/3444   
676;CEAPC;;2024-10-24;2410202420241024-13.08.52.747325 -;VIR SEPA CETIP CETIP;185.07;TP-20241024-SPSANT -172032443-0000476776-6396-   
677;CEAPC;;2024-10-24;2410202420241024-10.47.12.313202 -;VIR SEPA C.P.A.M. D ANGOULEME;3.43;0000001720324432961622241023    
678;CEAPC;;2024-10-24;2410202420241024-10.47.03.303744 -;VIR SEPA C.P.A.M. DE TULLE;16.55;0000001720324432962341241023    
679;CEAPC;;2024-10-24;2410202420241024-10.47.02.781908 -;VIR SEPA CPAM DE LILLE-DOUAI CF;246.27;0000001720324432965621241023    
680;CEAPC;;2024-10-24;2410202420241024-10.47.01.055838 -;VIR SEPA C.P.A.M. DE L ISERE;1.35;0000001720324432961751241023    
681;CEAPC;;2024-10-24;2410202420241024-10.46.57.081187 -;VIR SEPA CPAM DU HAINAUT  CFCM;7.07;0000001720324432969321241023    
682;CEAPC;;2024-10-24;2410202420241024-10.46.56.128415 -;VIR SEPA C.P.A.M. ORLEANS;16.55;0000001720324432966031241023    
683;CEAPC;;2024-10-24;2410202420241024-10.46.53.349614 -;VIR SEPA C.P.A.M. DE LA ROCHELL;3577.98;0000001720324432968122241023    
684;CEAPC;;2024-10-24;2410202420241024-10.46.51.383060 -;VIR SEPA C.P.A.M. BLOIS;7.0;0000001720324432965051241023    
685;CEAPC;;2024-10-24;2410202420241024-10.46.45.660171 -;VIR SEPA C.P.A.M. DEUX SEVRES;4.0;0000001720324432961599241023    
686;CEAPC;;2024-10-24;2410202420241024-10.46.43.648007 -;VIR SEPA C.P.A.M. CHATEAUROUX;1.99;0000001720324432963041241023    
687;CEAPC;;2024-10-24;2410202420241024-10.46.40.999424 -;VIR SEPA CPAM DE L OISE;42.73;0000001720324432964803241023    
688;CEAPC;;2024-10-24;2410202420241024-10.46.38.919661 -;VIR SEPA CPAM COTE OPALE BFCM;4.53;0000001720324432963121241023    
689;CEAPC;;2024-10-24;2410202420241024-10.46.38.904790 -;VIR SEPA CPAM ROUBAIX-TOURCOING;16.55;0000001720324432967121241023    
690;CEAPC;;2024-10-24;2410202420241024-10.46.38.891330 -;VIR SEPA C.P.A.M. TOURS;6.36;0000001720324432962011241023    
